IdSensore,Tipologia,Unità.DiMisura,IdStazione,NomeStazione,Quota,Provincia,DataStart,DataStop,Storico,lng,lat,NomeProvincia
12716,Temperatura,°C,1899,Bereguardo Fornasetta,95,PV,11/08/2020,,N,9.02191087,45.26278148,Pavia
14224,Precipitazione,mm,1343,Lanzada Passo Marinelli,3032,SO,13/10/2012,,N,9.91515411,46.34981046,Sondrio
6990,Radiazione Globale,W/m²,679,Valmadrera v.Pozzi,247,LC,02/02/2006,,N,9.35166247,45.84221272,Lecco
4010,Umidità Relativa,%,141,Vertemate con Minoprio serre,310,CO,25/05/2002,,N,9.0854885,45.71901089,Como
19389,Umidità Relativa,%,1650,Bormio eliporto,1172,SO,29/09/2016,,N,10.36603171,46.45370081,Sondrio
8017,Altezza Neve,cm,836,Aprica,1950,SO,01/01/1992,,N,10.14826598,46.12968795,Sondrio
22022,Precipitazione,mm,1891,Porto Valtravaglia San Michele,875,VA,30/01/2020,,N,8.71373858,45.94458167,Varese
32360,Radiazione Globale,W/m²,833,Gerola Alta Pescegallo,1875,SO,13/10/2017,,N,9.57112074,46.0261969,Sondrio
14500,Temperatura,°C,1371,Brembilla,468,BG,19/03/2013,,N,9.60925258,45.81475229,Bergamo
14529,Umidità Relativa,%,1375,Varano Borghi,241,VA,27/03/2013,,N,8.71232365,45.76639371,Varese
10585,Precipitazione,mm,1274,Perledo P.zza della stazione,212,LC,01/07/2010,,N,9.28641942,46.01583272,Lecco
8030,Umidità Relativa,%,848,Livigno La Vallaccia,2660,SO,11/09/1993,,N,10.18873661,46.47730866,Sondrio
4025,Precipitazione,mm,142,Caiolo,274,SO,24/05/2002,,N,9.79251888,46.15492316,Sondrio
115,Temperatura,°C,58,Carona Lago Fregabolgia,1955,BG,01/12/2001,,N,9.86305936,46.02444861,Bergamo
14055,Umidità Relativa,%,1324,Limone sul Garda,75,BS,13/03/2012,,N,10.79005556,45.80683333,Brescia
9100,Precipitazione,mm,1230,San Giacomo Filippo Lago Truzzo,2064,SO,09/01/2004,,N,9.31999148,46.36053879,Sondrio
6434,Radiazione Globale,W/m²,586,Costa Volpino v.Nazionale,192,BG,26/07/1993,,N,10.09707131,45.82716061,Bergamo
14241,Precipitazione,mm,1345,Piazzatorre,966,BG,13/10/2012,,N,9.69328479,45.99338359,Bergamo
8025,Precipitazione,mm,847,Carona Carisole,1954,BG,01/07/1993,,N,9.79379959,46.03852339,Bergamo
8190,Precipitazione,mm,908,Voghera v. Cambiaso,95,PV,04/03/2003,,N,9.01750575,44.9902815,Pavia
17561,Precipitazione,mm,1879,Montichiari Boschetti,92,BS,13/12/2018,,N,10.41406192,45.40275984,Brescia
17475,Radiazione Globale,W/m²,1545,San Siro Alpe Rescascìa,1285,CO,26/09/2018,,N,9.2383327,46.0719452,Como
19022,Temperatura,°C,1422,Bergamo v.Maffei,249,BG,01/10/2013,,N,9.67466286,45.69520255,Bergamo
9381,Umidità Relativa,%,1238,Val Masino S.Martino,943,SO,17/12/2008,,N,9.63217806,46.24144667,Sondrio
4049,Precipitazione,mm,145,Darfo Boario Terme,222,BS,06/06/2002,18/07/2023,S,10.1773568,45.8746021,Brescia
11007,Temperatura,°C,822,Valtorta,982,BG,10/11/2010,,N,9.53889086,45.97360719,Bergamo
2275,Radiazione Globale,W/m²,119,San Giovanni Bianco Cornalita,622,BG,12/09/2003,,N,9.63912077,45.86969697,Bergamo
2448,Umidità Relativa,%,133,Bema,958,SO,01/01/1993,,N,9.5693423,46.10552765,Sondrio
19295,Precipitazione,mm,1514,Carenno centro sportivo,633,LC,18/07/2014,,N,9.46596925,45.8009939,Lecco
8200,Temperatura,°C,865,Cantù Asnago,244,CO,29/04/2003,,N,9.10037269,45.71853181,Como
9092,Precipitazione,mm,1212,Castione della Presolana,1180,BG,01/01/2004,,N,10.06332908,45.92845581,Bergamo
9010,Temperatura,°C,1235,Cene Ponte,361,BG,04/10/2011,,N,9.8215332,45.78420692,Bergamo
14120,Precipitazione,mm,1326,Toscolano-Maderno,70,BS,25/03/2012,,N,10.61687842,45.63641172,Brescia
19355,Umidità Relativa,%,1561,Porto Ceresio campo sportivo,275,VA,23/12/2016,,N,8.89259411,45.89770026,Varese
32384,Altezza Neve,cm,1382,Veddasca Monte Cadrigna,1302,VA,07/11/2017,,N,8.76881513,46.07182708,Varese
31,Temperatura,°C,16,Valfurva Ghiacciaio dei Forni,2180,SO,03/05/1988,,N,10.55541386,46.42078875,Sondrio
9828,Radiazione Globale,W/m²,848,Livigno La Vallaccia,2660,SO,11/09/1993,,N,10.18873661,46.47730866,Sondrio
8013,Temperatura,°C,833,Gerola Alta Pescegallo,1875,SO,01/01/1992,,N,9.57112074,46.0261969,Sondrio
8133,Temperatura,°C,819,Lozio,994,BS,21/11/2001,,N,10.25975254,45.98580874,Brescia
8008,Temperatura,°C,835,Valdisotto Oga S. Colombano,2300,SO,01/01/1992,,N,10.30596404,46.45356516,Sondrio
