IdSensore,Data,Valore,Stato
5933,2024-05-13,4.4,VA
5933,2024-05-14,41.2,VA
5933,2024-05-15,66.8,VA
5933,2024-05-16,6.8,VA
5933,2024-05-17,0.6,VA
5933,2024-05-18,1.2,VA
5933,2024-05-19,0.2,VA
5933,2024-05-20,22.8,VA
5933,2024-05-21,8.8,VA
5933,2024-05-22,2.8,VA
5933,2024-05-23,15.2,VA
5933,2024-05-24,1.6,VA
5933,2024-05-25,3,VA
5933,2024-05-26,0.2,VA
5933,2024-05-27,1,VA
5933,2024-05-28,0.2,VA
5933,2024-05-29,0,VA
5933,2024-05-30,6.8,VA
5933,2024-05-31,4.4,VA
6694,2023-06-01,0,VA
6694,2023-06-02,0,VA
6694,2023-06-03,9.4,VA
6694,2023-06-04,6.8,VA
6694,2023-06-05,0.6,VA
6694,2023-06-06,0,VA
6694,2023-06-07,1.2,VA
6694,2023-06-08,0,VA
6694,2023-06-09,1,VA
6694,2023-06-10,0,VA
6694,2023-06-11,0,VA
6694,2023-06-12,1,VA
6694,2023-06-13,0,VA
6694,2023-06-14,0.2,VA
6694,2023-06-15,0,VA
6694,2023-06-16,0,VA
6694,2023-06-17,0,VA
6694,2023-06-18,0,VA
6694,2023-06-19,0,VA
6694,2023-06-20,0,VA
6694,2023-06-21,0,VA
6694,2023-06-22,0,VA
6694,2023-06-23,0,VA
6694,2023-06-24,0,VA
6694,2023-06-25,0,VA
6694,2023-06-26,0,VA
6694,2023-06-27,0,VA
6694,2023-06-28,0,VA
6694,2023-06-29,0,VA
6694,2023-06-30,14.4,VA
6694,2023-07-01,0.4,VA
6694,2023-07-02,0,VA
6694,2023-07-03,0,VA
6694,2023-07-04,0,VA
6694,2023-07-05,2.6,VA
6694,2023-07-06,0.2,VA
6694,2023-07-07,0,VA
6694,2023-07-08,0,VA
6694,2023-07-09,0,VA
6694,2023-07-10,0,VA
6694,2023-07-11,0,VA
6694,2023-07-12,1.2,VA
6694,2023-07-13,0.2,VA
6694,2023-07-14,0,VA
6694,2023-07-15,0,VA
6694,2023-07-16,0,VA
6694,2023-07-17,0,VA
6694,2023-07-18,0,VA
6694,2023-07-19,0,VA
6694,2023-07-20,0,VA
6694,2023-07-21,0.6,VA
6694,2023-07-22,0,VA
6694,2023-07-23,0,VA
6694,2023-07-24,1.6,VA
6694,2023-07-25,9.8,VA
6694,2023-07-26,0,VA
6694,2023-07-27,0,VA
6694,2023-07-28,0,VA
6694,2023-07-29,0,VA
6694,2023-07-30,0,VA
6694,2023-07-31,0,VA
6694,2023-08-01,0,VA
6694,2023-08-02,0,VA
6694,2023-08-03,0,VA
6694,2023-08-04,1.4,VA
6694,2023-08-05,1.4,VA
6694,2023-08-06,0,VA
6694,2023-08-07,0,VA
6694,2023-08-08,0,VA
6694,2023-08-09,0,VA
6694,2023-08-10,0,VA
6694,2023-08-11,0,VA
6694,2023-08-12,0,VA
6694,2023-08-13,0,VA
6694,2023-08-14,0,VA
6694,2023-08-15,0,VA
6694,2023-08-16,0,VA
6694,2023-08-17,0.2,VA
6694,2023-08-18,0,VA
6694,2023-08-19,0,VA
6694,2023-08-20,0,VA
6694,2023-08-21,0,VA
6694,2023-08-22,0,VA
6694,2023-08-23,0,VA
6694,2023-08-24,0,VA
6694,2023-08-25,0,VA
6694,2023-08-26,0,VA
6694,2023-08-27,8.6,VA
6694,2023-08-28,25.6,VA
6694,2023-08-29,4.6,VA
6694,2023-08-30,0,VA
6694,2023-08-31,0,VA
6694,2023-09-01,0,VA
6694,2023-09-02,0,VA
6694,2023-09-03,0,VA
6694,2023-09-04,0,VA
6694,2023-09-05,0,VA
6694,2023-09-06,0,VA
6694,2023-09-07,0,VA
6694,2023-09-08,0,VA
